,NUMERO_PREDITTORI,COVERAGE,MEDIA_ACCURATEZZE,ACCURATEZZA_FINALE,MEDIE_INFERIORI,MAXDRAWDOWN,END,THRESHOLD
0,10,15.062156692685747,0.5133110380000001,0.527831094049904,0,22225.0,-10625.0,10%
[10],32.176929748482216,0.5133110380000001,0.5238095238095238,0,25375.0,-337.5,-0.013300492610837438,9
[2],71.40093948604587,0.5184312105,0.5170278637770898,0,67162.5,22475.0,0.3346361436813698,1
[2],71.40093948604587,0.5184312105,0.5170278637770898,0,67162.5,22475.0,0.3346361436813698,1
[2],71.40883977900553,0.5184312105,0.5067698259187621,0,52175.0,15437.5,0.29587925251557257,1
[2],71.40883977900553,0.5184312105,0.5067698259187621,0,52175.0,15437.5,0.29587925251557257,1
[5],34.254461715601614,0.5119205556,0.5134453781512605,0,33187.5,-1325.0,-0.03992467043314501,5
[10],68.054350968488,0.5133110380000001,0.5144435004248089,0,31875.0,2487.5,0.0780392156862745,7
[1],100.0,0.519354839,0.5118279569892473,0,60425.0,17800.0,0.2945800579230451,0
[1],100.0,0.519354839,0.5155913978494624,0,15862.5,87825.0,5.536643026004728,0
[10],21.740387395200926,0.5133110380000001,0.5359042553191489,0,11600.0,54150.0,4.668103448275862,10
